Gall_sp,Status,Parasitoid,Total_number,Per_country
Neuroterus albipes,bisexual,Mesopolobus mediterraneus,9,"ES 5,FR 4"
Neuroterus albipes,bisexual,Mesopolobus tibialis,207,"DE,ES 87,FR 18,GB 102"
Neuroterus albipes,bisexual,Eupelmus urozonus,1,ES 1
Neuroterus albipes,bisexual,Eupelmus vesicularis,4,ES 4
Neuroterus albipes,bisexual,Aulogymnus arsames,11,"ES 1,GB 10"
Neuroterus albipes,bisexual,Aulogymnus gallarum,2,ES 2
Neuroterus albipes,bisexual,Aprostocetus aethiops,10,"ES 2,FR 2,GB 6"
Neuroterus albipes,bisexual,Pediobius saulius,4,FR 4
Neuroterus albipes,bisexual,Neuroterus albipes,,NA
Neuroterus albipes,bisexual,Synergus apicalis,,"HU,UA"
Neuroterus albipes,bisexual,Synergus facialis,,NL
Neuroterus albipes,bisexual,Synergus pallicornis,,DE
Neuroterus albipes,bisexual,Synergus pallipes,6,"DE,ES 1,GB 2,HU 3,PL"
Neuroterus albipes,bisexual,Synergus radiatus,5,"DE,ES 5,GB"
Neuroterus albipes,bisexual,Eurytoma brunniventris,1,ES 1
Neuroterus albipes,bisexual,Sycophila biguttata,17,"AT 5,ES 11,FR 1"
Neuroterus albipes,bisexual,Torymus ?auratus,1,HU 1
Neuroterus albipes,bisexual,Torymus flavipes,39,"AD,AT,DE,ES 6,FR 18,GB 13,HU 2"
Neuroterus albipes,bisexual,Ormyrus pomaceus,121,"AD,DE 18,ES 27,FR 73,HU 3"
Neuroterus albipes,bisexual,Arthrolytus nanus,1,FR 1
Neuroterus albipes,bisexual,Mesopolobus fasciiventris,3,"DE,ES 2,GB 1"
Neuroterus albipes,bisexual,Mesopolobus sericeus,3,ES 3
Neuroterus albipes,bisexual,Mesopolobus tibialis,5,"DE,ES 1,FR 1,GB 3"
Neuroterus albipes,bisexual,Pediobius clita,25,"ES 1,GB 24"
Neuroterus albipes,bisexual,Pediobius lysis,15,"DE 1,FR 4,GB 10"
Neuroterus anthracinus,bisexual,Ceroptres clavicornis,1,IT
Neuroterus anthracinus,bisexual,Synergus facialis,1,IT
Neuroterus anthracinus,bisexual,Synergus pallipes,,ES
Neuroterus anthracinus,bisexual,Synergus tibialis,,AD
Neuroterus anthracinus,bisexual,Ormocerus vernalis,13,"ES 5,GB 7,HU 1"
Neuroterus anthracinus,bisexual,Mesopolobus fasciiventris,2,"ES 1,HU 1"
Neuroterus anthracinus,bisexual,Mesopolobus fuscipes,55,GB 55
Neuroterus anthracinus,bisexual,Mesopolobus mediterraneus,1,ES 1
Neuroterus anthracinus,bisexual,Mesopolobus tibialis,104,"ES 99,GB 3,IT"
Neuroterus anthracinus,bisexual,Mesopolobus xanthocerus,8,"ES 7,GB 1"
Neuroterus anthracinus,bisexual,Aulogymnus arsames,1,ES 1
Neuroterus anthracinus,bisexual,Neuroterus anthracinus,,NA
Neuroterus anthracinus,bisexual,Ceroptres clavicornis,1,HU 1
Neuroterus anthracinus,bisexual,Saphonecrus connatus,1,"AT,HU 1"
Neuroterus anthracinus,bisexual,Synergus facialis,43,"AD,DE 5,DK,ES 2,FR 4,GB,HU 32,NL,PL,RU,UA"
Neuroterus anthracinus,bisexual,Synergus pallicornis,1,"AT,ES,HU 1,PL"
Neuroterus anthracinus,bisexual,Synergus pallipes,64,"AD,AT,DE,DK,ES 3,FR,HU 30,NL,PL,PT,RO,RU,UA"
Neuroterus anthracinus,bisexual,Synergus radiatus,41,"AD,AT,DE,DK,ES 12,FR 4,GB 24,HU 1,NL,PL,UA"
Neuroterus anthracinus,bisexual,Synergus ruficornis,,"AT,DE,UA"
Neuroterus anthracinus,bisexual,Synergus thaumacerus,1,"AT,DE,FR 1,PL,UA"
Neuroterus anthracinus,bisexual,Synergus umbraculus,14,HU 14
Neuroterus anthracinus,bisexual,Eurytoma brunniventris,133,"AD 1,AT,BG 2,DE 1,ES 6,FI 1,FR 30,GB 30,HU 57,IT 4,RO,UA 1"
Neuroterus anthracinus,bisexual,Sycophila biguttata,8,"ES 6,HU 2"
Neuroterus anthracinus,bisexual,Torymus ?cyaneus,1,HU 1
Neuroterus anthracinus,bisexual,Torymus flavipes,1,AD 1
Neuroterus anthracinus,bisexual,Torymus geranii,7,"DE 1,FR 2,GB 4"
Neuroterus anthracinus,bisexual,Ormyrus ?nitidulus,2,HU 2
Neuroterus anthracinus,bisexual,Ormyrus pomaceus,10,"ES 2,HU 8,RO"
Neuroterus anthracinus,bisexual,Cecidostiba fungosa,1,HU 1
Neuroterus anthracinus,bisexual,Mesopolobus fasciiventris,72,"AT,DE 1,FR 9,GB 56,HU 6,RO"
Neuroterus anthracinus,bisexual,Mesopolobus sericeus,8,"AD,ES 3,GB 5"
Neuroterus anthracinus,bisexual,Eupelmus urozonus,8,"BG 1,FR 1,GB 1,GR 1,HU 4"
Neuroterus anthracinus,bisexual,Eupelmus vesicularis,1,ES 1
Neuroterus anthracinus,bisexual,Aulogymnus arsames,1,GB 1
Neuroterus anthracinus,bisexual,Aulogymnus gallarum,1,HU 1
Neuroterus anthracinus,bisexual,(Cirrospilus diallus),1,GB 1
Neuroterus anthracinus,bisexual,Aprostocetus aethiops,5,"FR 1,GB 3,HU 1"
Neuroterus anthracinus,bisexual,Aprostocetus cerricola,2,"ES 1,HU 1"
Neuroterus anthracinus,bisexual,Aprostocetus sp(p).,2,"ES 1,HU 1"
Neuroterus anthracinus,bisexual,Baryscapus ?pallidae,6,HU 6
Neuroterus numismalis,bisexual,Synergus facialis,,NL
Neuroterus numismalis,bisexual,Synergus pallicornis,,"DK,ES,PT"
Neuroterus numismalis,bisexual,Synergus pallipes,61,"DK,GB 54,HU 7"
Neuroterus numismalis,bisexual,Eurytoma brunniventris,26,"ES 1,FR 2,GB 22,UA 1"
Neuroterus numismalis,bisexual,Eurytoma setigera,1,UA 1
Neuroterus numismalis,bisexual,Torymus auratus,1,HU 1
Neuroterus numismalis,bisexual,Torymus flavipes,6,"GB 3,HU 2,UA 1"
Neuroterus numismalis,bisexual,Ormyrus pomaceus,4,"HU 1,UA 3"
Neuroterus numismalis,bisexual,Mesopolobus fasciiventris,40,"ES 3,GB 19,HU 9,UA 9"
Neuroterus numismalis,bisexual,Mesopolobus fuscipes,1,GB 1
Neuroterus numismalis,bisexual,Mesopolobus mediterraneus,1,ES 1
Neuroterus numismalis,bisexual,Mesopolobus sericeus,1,GB 1
Neuroterus numismalis,bisexual,Mesopolobus tibialis,94,"ES 3,GB 53,HU 36,UA 2"
Neuroterus numismalis,bisexual,Eupelmus urozonus,9,"ES 5,HU 2"
Neuroterus numismalis,bisexual,Aulogymnus arsames,7,GB 7
Neuroterus numismalis,bisexual,Aulogymnus gallarum,4,UA 4
Neuroterus numismalis,bisexual,Aulogymnus skianeuros,1,HU 1
Neuroterus numismalis,bisexual,Cirrospilus diallus,2,GB 2
Neuroterus numismalis,bisexual,(Cirrospilus viticola),3,"HU 1,UA 2"
Neuroterus numismalis,bisexual,Aprostocetus aethiops,10,"GB 2,UA 8"
Neuroterus numismalis,bisexual,Aprostocetus cerricola,5,HU 5
Neuroterus numismalis,bisexual,Minotetrastichus frontalis,53,"HU 42,UA 11"
Neuroterus numismalis,bisexual,?Pediobius lysis,1,UA 1
Neuroterus numismalis,bisexual,Pediobius saulius,2,HU 2
Neuroterus numismalis,bisexual,(Closterocerus trifasciatus),24,"HU 23,UA 1"
Neuroterus numismalis,bisexual,Neuroterus numismalis,,NA
Neuroterus numismalis,bisexual,Ceroptres clavicornis,,UA
Neuroterus numismalis,bisexual,Synergus pallicornis,1,"HU 1,UA"
Neuroterus numismalis,bisexual,Synergus pallipes,,"AD,DE,GB,PL,UA"
Neuroterus numismalis,bisexual,Synergus radiatus,9,"DE,ES 1,FR 4,GB 4,PL,PT,UA"
Neuroterus numismalis,bisexual,Eurytoma brunniventris,7,ES 7
Neuroterus numismalis,bisexual,Sycophila biguttata,2,"ES 1,HU 1"
Neuroterus numismalis,bisexual,Torymus flavipes,41,"ES 8,GB 14,HU 19"
Neuroterus numismalis,bisexual,Ormyrus pomaceus,12,"BG 1,ES 3,HU 8"
Neuroterus numismalis,bisexual,Cecidostiba fungosa,4,HU 4
Neuroterus numismalis,bisexual,Mesopolobus dubius,1,ES 1
Neuroterus numismalis,bisexual,Mesopolobus fasciiventris,3,GB 3
Neuroterus numismalis,bisexual,Mesopolobus tibialis,41,"ES 21,GB 17,HU 3"
Neuroterus numismalis,bisexual,Pediobius lysis,598,"ES 12,GB 586"
Neuroterus politus,bisexual,Ceroptres clavicornis,3,AT 3
Neuroterus politus,bisexual,Synergus umbraculus,8,ES 8
Neuroterus politus,bisexual,Mesopolobus fuscipes,47,"AT,ES 40,FR 1,GB 6"
Neuroterus politus,bisexual,Mesopolobus tibialis,9,"AT,ES 4,FR 5"
Neuroterus politus,bisexual,Mesopolobus sp.,2,AD 2
Neuroterus politus,bisexual,Neuroterus politus,,NA
Neuroterus politus,bisexual,Mesopolobus xanthocerus,1,AD 1
Neuroterus politus,bisexual,Aprostocetus aethiops,1,FR 1
Neuroterus quercusbaccarum,bisexual,Ceroptres cerri,,PT
Neuroterus quercusbaccarum,bisexual,Saphonecrus connatus,1,"AT,ES 1"
Neuroterus quercusbaccarum,bisexual,Synergus apicalis,,SE öl
Neuroterus quercusbaccarum,bisexual,Synergus facialis,130,"AD,DE,ES 63,FR 8,GB 20,HU 36,IT,NL,SE öl"
Neuroterus quercusbaccarum,bisexual,Synergus pallicornis,1,"ES 1,PL"
Neuroterus quercusbaccarum,bisexual,Synergus pallipes,199,"AD 2,AT,DE,DK,ES 118,FR 7,GB 8,HU 35,IT,NL,PL"
Neuroterus quercusbaccarum,bisexual,Synergus radiatus,378,"AD 4,AT,DE 278,DK,ES 56"
Neuroterus quercusbaccarum,bisexual,& Pujade-Villar 1999a),,"FR 9,GB 26,HU 5,IT,NL,PL"
Neuroterus quercusbaccarum,bisexual,Synergus ruficornis,,PL
Neuroterus quercusbaccarum,bisexual,Synergus thaumacerus,2,"ES,HU 1,IT,SE 1,UA"
Neuroterus quercusbaccarum,bisexual,Eurytoma brunniventris,101,"AD 6,AT,BG 1,ES 56,FR 12,GB 7,HU 28,IT,UA 2"
Neuroterus quercusbaccarum,bisexual,Eurytoma setigera,3,"AD 2,AT 1"
Neuroterus quercusbaccarum,bisexual,Sycophila biguttata,87,"AT 65,ES 21,HU 1"
Neuroterus quercusbaccarum,bisexual,Sycophila variegata,3,ES 3
Neuroterus quercusbaccarum,bisexual,Megastigmus dorsalis,,DE
Neuroterus quercusbaccarum,bisexual,Torymus affinis,,"AT,RO"
Neuroterus quercusbaccarum,bisexual,Torymus auratus,6,"AT,BG 1,DE,ES 2,FR,GB 2,IT 1,PL,RO"
Neuroterus quercusbaccarum,bisexual,Torymus flavipes,1034,"AD 2,AT,BG 5,DE 449,ES 380,FI 7"
Neuroterus quercusbaccarum,bisexual,(Kaartinen et al. 2010),,"FR,GB 37,HU 98,IT,PL,RO 2,SE öl,UA 54"
Neuroterus quercusbaccarum,bisexual,Torymus geranii,13,"AT,ES 11,FI 1,UA 1"
Neuroterus quercusbaccarum,bisexual,Torymus ?longicalcar,,AT
Neuroterus quercusbaccarum,bisexual,Torymus notatus,4,ES 4
Neuroterus quercusbaccarum,bisexual,Torymus sp(p).,13,HU 13
Neuroterus quercusbaccarum,bisexual,Ormyrus pomaceus,13,"AT 4,ES 2,HU 3,SE öl,UA 4"
Neuroterus quercusbaccarum,bisexual,(Kaleva corynocera),4,ES 4
Neuroterus quercusbaccarum,bisexual,Mesopolobus albitarsus,,SE öl
Neuroterus quercusbaccarum,bisexual,Mesopolobus amaenus,1,"AT,ES 1,FR,SE"
Neuroterus quercusbaccarum,bisexual,Mesopolobus dubius,7,"DE 1,ES 4,GB 1,IT,RO"
Neuroterus quercusbaccarum,bisexual,Mesopolobus fasciiventris,62,"AT,DE 42,ES 3,HU 6,IT,RO,SE öl,UA 11"
Neuroterus quercusbaccarum,bisexual,Mesopolobus fuscipes,1,GB 1
Neuroterus quercusbaccarum,bisexual,Mesopolobus mediterraneus,3,"AD 2,ES 1"
Neuroterus quercusbaccarum,bisexual,Mesopolobus sericeus,11,"ES 9,GB 2,IT"
Neuroterus quercusbaccarum,bisexual,Mesopolobus tibialis,214,"AD 2,AT,DE 144,ES 40,FR,GB 9,HU 10,PL,RO,IT,UA 8"
Neuroterus quercusbaccarum,bisexual,Mesopolobus xanthocerus,6,"DE 1,ES 1,FI 3,GB 1"
Neuroterus quercusbaccarum,bisexual,Eupelmus spongipartus,,AT
Neuroterus quercusbaccarum,bisexual,Eupelmus urozonus,21,"AD 3,ES 12,FI 2,FR 1,GB 2,IT"
Neuroterus quercusbaccarum,bisexual,Eupelmus vesicularis,,AT
Neuroterus quercusbaccarum,bisexual,Aulogymnus arsames,244,"AD 14,DE 179,ES 20,FI 12,FR 1,GB 18"
Neuroterus quercusbaccarum,bisexual,Aulogymnus ?euedoreschus,,SE öl
Neuroterus quercusbaccarum,bisexual,Aulogymnus gallarum,28,"AD 1,ES 23"
Neuroterus quercusbaccarum,bisexual,Pujade-Villar 1991; Bellido & Pujade-Villar 1999a),,TR(4 Q
Neuroterus quercusbaccarum,bisexual,Aulogymnus skianeuros,1,"AD,FI 1"
Neuroterus quercusbaccarum,bisexual,Aulogymnus testaceoviridis,1,HU 1
Neuroterus quercusbaccarum,bisexual,Aprostocetus aethiops,8,"ES 2,HU 3,UA 3"
Neuroterus quercusbaccarum,bisexual,?Aprostocetus rufescens,,FR
Neuroterus quercusbaccarum,bisexual,Baryscapus ?pallidae,2,FI 2
Neuroterus quercusbaccarum,bisexual,Pediobius ?rotundatus,5,ES 5
Neuroterus quercusbaccarum,bisexual,Neuroterus quercusbaccarum,,NA
Neuroterus quercusbaccarum,bisexual,Saphonecrus haimi,1,HU 1
Neuroterus quercusbaccarum,bisexual,Synergus facialis,5,"AD,HU 5,NL,PL,UA"
Neuroterus quercusbaccarum,bisexual,Synergus pallicornis,,"DE,DK,HU,NL,UA"
Neuroterus quercusbaccarum,bisexual,Synergus pallipes,12,"AT,DE,ES,FR,GB 5,HU 5,NL,TR 2,UA"
Neuroterus quercusbaccarum,bisexual,Synergus radiatus,9,"AD,AT,DE,DK,ES 9,GB,UA"
Neuroterus quercusbaccarum,bisexual,Synergus thaumacerus,,"HU,UA"
Neuroterus quercusbaccarum,bisexual,Eurytoma brunniventris,7,"FR 2,GB 1,HU 2,UA 2"
Neuroterus quercusbaccarum,bisexual,Sycophila biguttata,49,"ES 8,HU 41,PT"
Neuroterus quercusbaccarum,bisexual,Sycophila variegata,2,ES 2
Neuroterus quercusbaccarum,bisexual,Megastigmus dorsalis,,DE
Neuroterus quercusbaccarum,bisexual,Torymus ?auratus,,AT
Neuroterus quercusbaccarum,bisexual,Torymus flavipes,111,"AD,AT,DE,ES 9,FI 5,FR 34,GB 41,HU 18,UA 4"
Neuroterus quercusbaccarum,bisexual,Ormyrus pomaceus,75,"ES 38,FR 23,HU 14"
Neuroterus quercusbaccarum,bisexual,Arthrolytus nanus,1,FR 1
Neuroterus quercusbaccarum,bisexual,Mesopolobus amaenus,,AT
Neuroterus quercusbaccarum,bisexual,Mesopolobus dubius,52,"ES 24,GB 1,HU 27"
Neuroterus quercusbaccarum,bisexual,Mesopolobus fasciiventris,12,"AT,FR 2,GB 1,HU 9"
Neuroterus quercusbaccarum,bisexual,Mesopolobus tibialis,67,"AT,DE 1,ES 9,GB 14,HU 43"
Neuroterus quercusbaccarum,bisexual,Eupelmus urozonus,3,HU 3
Neuroterus quercusbaccarum,bisexual,Aulogymnus arsames,3,"ES 1,TR 2"
Neuroterus quercusbaccarum,bisexual,Aulogymnus gallarum,18,"GB 5,UA 13"
Neuroterus quercusbaccarum,bisexual,Aprostocetus sp.,3,UA 3
Neuroterus quercusbaccarum,bisexual,(Minotetrastichus frontalis),1,HU 1
Neuroterus quercusbaccarum,bisexual,Pediobius lysis,71,"ES 3,FR 31,GB 33,HU 1,IE 2,TR 1"
Neuroterus tricolor,bisexual,Synergus facialis,9,"AT,ES 9,GB,PL"
Neuroterus tricolor,bisexual,Synergus pallipes,34,"AT,DE,ES 31,GB 3"
Neuroterus tricolor,bisexual,Synergus radiatus,5,"ES 5,NL,UA"
Neuroterus tricolor,bisexual,Synergus thaumacerus,,"AT,GB,UA"
Neuroterus tricolor,bisexual,Eurytoma brunniventris,13,"AD 1,AT,DE,ES 11,GB 1"
Neuroterus tricolor,bisexual,Sycophila biguttata,5,AT 5
Neuroterus tricolor,bisexual,Torymus auratus,3,ES 3
Neuroterus tricolor,bisexual,Torymus flavipes,2,GB 2
Neuroterus tricolor,bisexual,Ormyrus pomaceus,1,ES 1
Neuroterus tricolor,bisexual,Mesopolobus dubius,1,ES 1
Neuroterus tricolor,bisexual,Mesopolobus fasciiventris,1,ES 1
Neuroterus tricolor,bisexual,Mesopolobus sericeus,2,ES 2
Neuroterus tricolor,bisexual,Mesopolobus tibialis,46,"ES 42,GB 4"
Neuroterus tricolor,bisexual,Eupelmus vesicularis,1,ES 1
Neuroterus tricolor,bisexual,Aulogymnus arsames,2,ES 2
Neuroterus tricolor,bisexual,Neuroterus tricolor,,NA
Neuroterus tricolor,bisexual,Synergus facialis,,UA
Neuroterus tricolor,bisexual,Synergus pallipes,,"DE,UA"
Neuroterus tricolor,bisexual,Synergus radiatus,5,"AT,ES 5"
Neuroterus tricolor,bisexual,Nieves-Aldrey 1988),,"GB,UA"
Neuroterus tricolor,bisexual,Synergus thaumacerus,,UA
Neuroterus tricolor,bisexual,Eurytoma setigera,1,DE 1
Neuroterus tricolor,bisexual,Sycophila biguttata,4,ES 4
Neuroterus tricolor,bisexual,Torymus flavipes,3,ES 3
Neuroterus tricolor,bisexual,Torymus ?notatus,1,ES 1
Neuroterus tricolor,bisexual,Ormyrus pomaceus,2,ES 2
Neuroterus tricolor,bisexual,Eupelmus urozonus,6,DE 6
Neuroterus tricolor,bisexual,Aulogymnus arsames,1,ES 1
Neuroterus tricolor,bisexual,Pediobius lysis,10,GB 10
Plagiotrochus amenti,bisexual,Ceroptres cerri,15,ES 15
Plagiotrochus amenti,bisexual,Saphonecrus gallaepomiformis,,ES
Plagiotrochus amenti,bisexual,Synergus apicalis,1,ES 1
Plagiotrochus amenti,bisexual,Synergus tibialis,3,ES 3
Plagiotrochus amenti,bisexual,Sycophila flavicollis,1,ES 1
Plagiotrochus amenti,bisexual,Sycophila variegata,2,ES 2
Plagiotrochus amenti,bisexual,Megastigmus dorsalis,4,ES 4
Plagiotrochus amenti,bisexual,Torymus auratus,,ES
Plagiotrochus amenti,bisexual,Ormyrus pomaceus,1,ES 1
Plagiotrochus amenti,bisexual,Ormocerus latus,1,ES 1
Plagiotrochus amenti,bisexual,Mesopolobus dubius,2,ES 2
Plagiotrochus amenti,bisexual,Mesopolobus lichtensteini,15,ES 15
Plagiotrochus amenti,bisexual,Mesopolobus mediterraneus,26,ES 26
Plagiotrochus amenti,bisexual,Mesopolobus tibialis,3,ES 3
Plagiotrochus amenti,bisexual,Mesopolobus xanthocerus,4,ES 4
Plagiotrochus amenti,bisexual,Eupelmus urozonus,1,ES 1
Plagiotrochus amenti,bisexual,Aulogymnus gallarum,3,ES 3
Plagiotrochus amenti,bisexual,Pediobius rotundatus,2,ES 2
Plagiotrochus amenti,bisexual,Plagiotrochus amenti,,NA
Plagiotrochus amenti,bisexual,Ceroptres cerri,15,ES 15
Plagiotrochus amenti,bisexual,Saphonecrus gallaepomiformis,25,"ES 3,PT 22"
Plagiotrochus amenti,bisexual,Ormyrus pomaceus,1,ES 1
Plagiotrochus amenti,bisexual,Pediobius rotundatus,1,ES 1
Plagiotrochus australis,bisexual,Ceroptres cerri,4,ES 4
Plagiotrochus australis,bisexual,Synergus crassicornis,5,ES 5
Plagiotrochus australis,bisexual,Synergus plagiotrochi,79,ES 59
Plagiotrochus australis,bisexual,Pujade-Villar 1992d),,FR 20
Plagiotrochus australis,bisexual,Eurytoma brunniventris,20,"AD 1,ES 1,FR 18"
Plagiotrochus australis,bisexual,Eurytoma setigera,1,ES 1
Plagiotrochus australis,bisexual,Sycophila biguttata,1,ES 1
Plagiotrochus australis,bisexual,Sycophila binotata,5,"ES 5,FR"
Plagiotrochus australis,bisexual,Sycophila variegata,55,"AD 1,ES 54"
Plagiotrochus australis,bisexual,Torymus favardi,1,FR 1
Plagiotrochus australis,bisexual,Torymus flavipes,24,"ES 23,FR 1"
Plagiotrochus australis,bisexual,Torymus notatus,56,"AD 7,ES 49,FR"
Plagiotrochus australis,bisexual,Ormyrus pomaceus,6,ES 4
Plagiotrochus australis,bisexual,Bellido & Pujade-Villar 1999a),,FR 2
Plagiotrochus australis,bisexual,Cecidostiba atra,23,"ES 12,FR 11"
Plagiotrochus australis,bisexual,Cecidostiba ilicina,9,ES 9
Plagiotrochus australis,bisexual,Cyrtoptyx robustus,1,ES 1
Plagiotrochus australis,bisexual,Mesopolobus lichtensteini,3,ES 3
Plagiotrochus australis,bisexual,Mesopolobus tibialis,4,ES 4
Plagiotrochus australis,bisexual,Eupelmus seculatus,1,ES 1
Plagiotrochus australis,bisexual,Eupelmus urozonus,12,"ES 5,FR 7"
Plagiotrochus australis,bisexual,Eupelmus vesicularis,1,AD 1
Plagiotrochus australis,bisexual,Aulogymnus arsames,4,ES 4
Plagiotrochus australis,bisexual,Aulogymnus bicolor,3,"AD 2,ES 1"
Plagiotrochus australis,bisexual,Bellido & Pujade-Villar 1999a),,NA
Plagiotrochus australis,bisexual,Pediobius rotundatus,6,ES 6
Plagiotrochus australis,bisexual,Plagiotrochus australis,,NA
Plagiotrochus australis,bisexual,Ceroptres cerri,,ES
Plagiotrochus australis,bisexual,Synergus crassicornis,9,ES 9
Plagiotrochus australis,bisexual,Synergus ilicinus,13,"ES 13,FR"
Plagiotrochus australis,bisexual,Eurytoma brunniventris,4,ES 4
Plagiotrochus britaniae,bisexual,Saphonecrus barbotini,61,"ES 53,FR 8"
Plagiotrochus britaniae,bisexual,Sycophila binotata,1,ES 1
Plagiotrochus britaniae,bisexual,Ormyrus pomaceus,1,ES 1
Plagiotrochus britaniae,bisexual,Mesopolobus lichtensteini,1,ES 1
Plagiotrochus britaniae,bisexual,Mesopolobus mediterraneus,4,ES 4
Plagiotrochus britaniae,bisexual,Mesopolobus sericeus,2,ES 2
Plagiotrochus britaniae,bisexual,Aprostocetus fusificola,7,ES 7
Plagiotrochus burnayi,asexual,Synergus crassicornis,68,"AD,ES 68,MA"
Plagiotrochus burnayi,asexual,Eurytoma brunniventris,1,ES 1
Plagiotrochus burnayi,asexual,Ormyrus pomaceus,2,ES 2
Plagiotrochus cardiguensis,bisexual,Ormocerus latus,7,ES 7
Plagiotrochus cardiguensis,bisexual,Mesopolobus lichtensteini,1,"ES 1,FR"
Plagiotrochus cardiguensis,bisexual,Mesopolobus mediterraneus,28,"AD,ES 28"
Plagiotrochus cardiguensis,bisexual,Mesopolobus tibialis,5,ES 5
Plagiotrochus cardiguensis,bisexual,Pediobius rotundatus,11,ES 11
Plagiotrochus coriaceus,asexual,Ceroptres cerri,1,"AD,ES 1,PT"
Plagiotrochus coriaceus,asexual,Saphonecrus barbotini,20,"AD,ES 17,FR 3"
Plagiotrochus coriaceus,asexual,Sycophila variegata,1,AD 1
Plagiotrochus coriaceus,asexual,Torymus notatus,2,ES 2
Plagiotrochus coriaceus,asexual,Ormyrus pomaceus,2,ES 2
Plagiotrochus coriaceus,asexual,Cecidostiba atra,1,ES 1
Plagiotrochus coriaceus,asexual,Mesopolobus lichtensteini,15,ES 15
Plagiotrochus coriaceus,asexual,Mesopolobus xanthocerus,1,ES 1
Plagiotrochus coriaceus,asexual,Pediobius erdoesi,4,IT 4
Plagiotrochus coriaceus,asexual,Pediobius rotundatus,1,ES 1
Plagiotrochus gallaeramulorum,asexual,Saphonecrus barbotini,,ES
Plagiotrochus gallaeramulorum,asexual,Saphonecrus gallaepomiformis,14,ES 14
Plagiotrochus gallaeramulorum,asexual,"Pujade-Villar & Ros-Farré 1998a; Nieves-Aldrey 1982, 2001a,b as S. lusitanicus, inquiline of P. quercusilicis asex. gen.; Pujade-Villar 2003)",,"FR,PT"
Plagiotrochus gallaeramulorum,asexual,Synergus facialis,,PT
Plagiotrochus gallaeramulorum,asexual,Synergus physocerus,,GR
Plagiotrochus gallaeramulorum,asexual,Eurytoma brunniventris,1,ES 1
Plagiotrochus gallaeramulorum,asexual,Sycophila binotata,19,"ES 18,GR 1"
Plagiotrochus gallaeramulorum,asexual,Sycophila flavicollis,1,GR 1
Plagiotrochus gallaeramulorum,asexual,Sycophila variegata,1,ES 1
Plagiotrochus gallaeramulorum,asexual,Megastigmus dorsalis,7,"ES 7,PT"
Plagiotrochus gallaeramulorum,asexual,Megastigmus dumicola,30,ES 30
Plagiotrochus gallaeramulorum,asexual,Ormyrus pomaceus,2,ES 2
Plagiotrochus panteli,bisexual,Synergus crassicornis,11,ES 11
Plagiotrochus panteli,bisexual,Synergus physocerus,,GR
Plagiotrochus panteli,bisexual,Synergus plagiotrochi,25,"ES 19,GR 6"
Plagiotrochus panteli,bisexual,Eurytoma brunniventris,7,"ES 4,FR 3"
Plagiotrochus panteli,bisexual,Eurytoma setigera,2,ES 2
Plagiotrochus panteli,bisexual,Sycophila binotata,2,ES 2
Plagiotrochus panteli,bisexual,Sycophila flavicollis,4,ES 4
Plagiotrochus panteli,bisexual,Sycophila variegata,5,"ES 4,GR 1"
Plagiotrochus panteli,bisexual,Megastigmus dorsalis,1,ES 1
Plagiotrochus panteli,bisexual,Torymus notatus,10,ES 10
Plagiotrochus panteli,bisexual,Ormyrus pomaceus,3,ES 3
Plagiotrochus panteli,bisexual,Ormocerus latus,1,ES 1
Plagiotrochus panteli,bisexual,Cecidostiba atra,1,ES 1
Plagiotrochus panteli,bisexual,Mesopolobus dubius,5,ES 5
Plagiotrochus panteli,bisexual,Mesopolobus lichtensteini,19,ES 19
Plagiotrochus panteli,bisexual,Mesopolobus mediterraneus,3,ES 3
Plagiotrochus panteli,bisexual,Mesopolobus xanthocerus,5,"ES 2,FR 3"
Plagiotrochus panteli,bisexual,Eupelmus urozonus,4,ES 4
Plagiotrochus panteli,bisexual,Pediobius rotundatus,31,"ES 5,FR 26"
Plagiotrochus quercusilicis,bisexual,Ceroptres cerri,6,JO 6
Plagiotrochus quercusilicis,bisexual,Synergus crassicornis,1,ES 1
Plagiotrochus quercusilicis,bisexual,Synergus plagiotrochi,6,ES 6
Plagiotrochus quercusilicis,bisexual,Eurytoma adleriae,3,ES 3
Plagiotrochus quercusilicis,bisexual,Eurytoma brunniventris,93,"ES 3,JO 90"
Plagiotrochus quercusilicis,bisexual,Sycophila biguttata,4,ES 4
Plagiotrochus quercusilicis,bisexual,Sycophila binotata,78,"ES 75,FR,GR 1,TN 2"
Plagiotrochus quercusilicis,bisexual,Sycophila flavicollis,60,ES 60
Plagiotrochus quercusilicis,bisexual,Sycophila variegata,580,"AD 2,ES 527,JO 51"
Plagiotrochus quercusilicis,bisexual,Megastigmus dorsalis,9,JO 9
Plagiotrochus quercusilicis,bisexual,Torymus flavipes,50,ES 50
Plagiotrochus quercusilicis,bisexual,Torymus notatus,36,"AD 2,ES 32,JO 2"
Plagiotrochus quercusilicis,bisexual,Ormyrus pomaceus,60,"ES 56,FR 3,JO 1"
Plagiotrochus quercusilicis,bisexual,Cecidostiba atra,2,ES 2
Plagiotrochus quercusilicis,bisexual,Cecidostiba ilicina,79,"AD 2,ES 71,JO 6"
Plagiotrochus quercusilicis,bisexual,Mesopolobus dubius,4,ES 4
Plagiotrochus quercusilicis,bisexual,Mesopolobus lichtensteini,97,"ES 97,FR"
