Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Asplenium trichomanes,Asplenium,"",trichomanes,,,"","",tro-26602551,TRUE,1.1,Accepted,Aspleniaceae,Asplenium,"",trichomanes,"","",L.,tro-26602551,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Asplenium viride,Asplenium,"",viride,,,"","",tro-26603160,TRUE,1.1,Accepted,Aspleniaceae,Asplenium,"",viride,"","",Huds.,tro-26603160,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Oreopteris limbosperma,Oreopteris,"",limbosperma,,,"","",tro-26610998,TRUE,1.1,Accepted,Thelypteridaceae,Oreopteris,"",limbosperma,"","",Holub,tro-26610998,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Phegopteris connectilis,Phegopteris,"",connectilis,,,"","",tro-26600261,TRUE,1.1,Accepted,Thelypteridaceae,Phegopteris,"",connectilis,"","",(Michx.) Watt,tro-26600261,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Thelypteris palustris,Thelypteris,"",palustris,,,"","",tro-26600347,TRUE,1.1,Synonym,Thelypteridaceae,Thelypteris,"",confluens,"","",(Thunb.) C.V. Morton,tro-26604410,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Athyrium distentifolium,Athyrium,"",distentifolium,,,"","",tro-26602694,TRUE,1.1,Synonym,Athyriaceae,Athyrium,"",alpestre,"","",(Hoppe) Clairv.,tro-26615199,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Athyrium filix-femina,Athyrium,"",filix-femina,,,"","",tro-26600065,TRUE,1.1,Accepted,Athyriaceae,Athyrium,"",filix-femina,"","",(L.) Roth,tro-26600065,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Woodsia alpina,Woodsia,"",alpina,,,"","",tro-26602657,TRUE,1.1,Accepted,Woodsiaceae,Woodsia,"",alpina,"","",(Bolton) Gray,tro-26602657,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Woodsia ilvensis,Woodsia,"",ilvensis,,,"","",tro-26602660,TRUE,1.1,Accepted,Woodsiaceae,Woodsia,"",ilvensis,"","",(L.) R. Br.,tro-26602660,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Blechnum spicant,Blechnum,"",spicant,,,"","",tro-26614187,TRUE,1.1,Accepted,Blechnaceae,Blechnum,"",spicant,"","",(L.) Sm.,tro-26614187,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Dryopteris aemula,Dryopteris,"",aemula,,,"","",tro-26610290,TRUE,1.1,Unresolved,Dryopteridaceae,Dryopteris,"",aemula,"","",Kuntze,tro-26610290,Unresolved,FALSE,FALSE,FALSE,2020-10-10,Species
Dryopteris affinis,Dryopteris,"",affinis,,,"","",tro-26608733,TRUE,1.1,Unresolved,Dryopteridaceae,Dryopteris,"",affinis,"","",Fraser-Jenk.,tro-26608733,Unresolved,FALSE,FALSE,FALSE,2020-10-10,Species
Dryopteris carthusiana,Dryopteris,"",carthusiana,,,"","",tro-26600144,TRUE,1.1,Accepted,Dryopteridaceae,Dryopteris,"",carthusiana,"","",(Vill.) H.P. Fuchs,tro-26600144,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
Dryopteris cristata,Dryopteris,"",cristata,,,"","",tro-26600145,TRUE,1.1,Accepted,Dryopteridaceae,Dryopteris,"",cristata,"","",(L.) A. Gray,tro-26600145,Accepted,FALSE,FALSE,FALSE,2020-10-10,Species
