Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Passiflora caerulea,Passiflora,"",caerulea,,,"","",kew-2559649,TRUE,1.1,Accepted,Passifloraceae,Passiflora,"",caerulea,"","",L.,kew-2559649,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Passiflora lauriflora L.,Passiflora,"",lauriflora,,,"",L.,"",FALSE,1.1,"","",Passiflora,"",lauriflora,,"","","","",FALSE,FALSE,FALSE,2020-10-09,Genus
Pastinaca sativa,Pastinaca,"",sativa,,,"","",kew-2403590,TRUE,1.1,Accepted,Apiaceae,Pastinaca,"",sativa,"","",L.,kew-2403590,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pastinaca sativa ssp. sativa,Pastinaca,"",sativa,,ssp.,sativa,"",kew-2403590,TRUE,1.1,Accepted,Apiaceae,Pastinaca,"",sativa,"","",L.,kew-2403590,Accepted,FALSE,FALSE,TRUE,2020-10-09,Species
Pastinaca sativa ssp. sylvestris,Pastinaca,"",sativa,,ssp.,sylvestris,"",kew-2898292,TRUE,1.1,Synonym,Apiaceae,Pastinaca,"",sativa,"","",L.,kew-2403590,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Paxillus pannoides,Paxillus,"",pannoides,,,"","","",FALSE,1.1,"","",Paxillus,"",pannoides,,"","","","",TRUE,FALSE,FALSE,2020-10-09,Genus
Paxillus panuoides,Paxillus,"",panuoides,,,"","","",FALSE,1.1,"","",Paxillus,"",panuoides,,"","","","",TRUE,FALSE,FALSE,2020-10-09,Genus
Pedicularis labradorica,Pedicularis,"",labradorica,,,"","",kew-2543704,TRUE,1.1,Accepted,Orobanchaceae,Pedicularis,"",labradorica,"","",Wirsing,kew-2543704,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pedicularis lapponica,Pedicularis,"",lapponica,,,"","",kew-2542999,TRUE,1.1,Accepted,Orobanchaceae,Pedicularis,"",lapponica,"","",L.,kew-2542999,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Pedicularis palustris,Pedicularis,"",palustris,,,"","",kew-2542534,TRUE,1.1,Accepted,Orobanchaceae,Pedicularis,"",palustris,"","",L.,kew-2542534,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
