Binomial,NCBI taxon id,Order,Family,Data source,Haploid genome size,Repeat %,Heterozygosity %
Melitaea cinxia,113334,Lepidoptera,Nymphalidae,pacbio,500178079,27.62,1.93
Melitaea cinxia,113334,Lepidoptera,Nymphalidae,pacbio,495531952,35.19,2.12
Melolontha melolontha,7061,Coleoptera,Scarabaeidae,pacbio,1660452291,49.07,1.4
Melolontha melolontha,7061,Coleoptera,Scarabaeidae,pacbio,1656512206,59.77,1.57
Mesembrina meridiana,116148,Diptera,Muscidae,10x,919861624,52.14,2.91
Mesembrina meridiana,116148,Diptera,Muscidae,10x,961495382,59.65,3.38
Mesembrina meridiana,116148,Diptera,Muscidae,pacbio,839167566,51.79,3.12
Mesembrina meridiana,116148,Diptera,Muscidae,pacbio,732206352,51.73,3.27
Metschnikowia zobellii,27328,Saccharomycetales,Metschnikowiaceae,pacbio,14854064,12.5,0.33
Metschnikowia zobellii,27328,Saccharomycetales,Metschnikowiaceae,pacbio,14861008,12.79,0.35
Mimas tiliae,522848,Lepidoptera,Sphingidae,pacbio,467722446,21.53,0.74
Mimas tiliae,522848,Lepidoptera,Sphingidae,pacbio,467998442,30.59,0.8
Myathropa florea,2714349,Diptera,Syrphidae,10x,459213491,29.64,0.95
Myathropa florea,2714349,Diptera,Syrphidae,10x,461622290,36.29,1.07
Myathropa florea,2714349,Diptera,Syrphidae,pacbio,439241558,25.16,0.92
Myathropa florea,2714349,Diptera,Syrphidae,pacbio,436668801,31.61,1.05
Myrmica ruginodis,34708,Hymenoptera,Formicidae,10x,531405068,52.88,0.45
Myrmica ruginodis,34708,Hymenoptera,Formicidae,10x,534391348,57.26,0.49
Myrmica ruginodis,34708,Hymenoptera,Formicidae,pacbio,512163218,51.64,0.46
Myrmica ruginodis,34708,Hymenoptera,Formicidae,pacbio,509392696,56.07,0.52
Mythimna impura,987985,Lepidoptera,Noctuidae,10x,993466367,46.66,2.88
Mythimna impura,987985,Lepidoptera,Noctuidae,10x,995170533,54.88,3.14
Mythimna impura,987985,Lepidoptera,Noctuidae,pacbio,939919900,43.41,2.64
Mythimna impura,987985,Lepidoptera,Noctuidae,pacbio,937732407,51.95,2.82
Nabis limbatus,347974,Hemiptera,Nabidae,pacbio,2219934948,55.26,1.21
Nabis limbatus,347974,Hemiptera,Nabidae,pacbio,2213004049,65.27,1.35
Nebria brevicollis,110024,Coleoptera,Carabidae,10x,473660361,67.74,0.63
Nebria brevicollis,110024,Coleoptera,Carabidae,10x,456844441,68.79,0.71
Nebria brevicollis,110024,Coleoptera,Carabidae,pacbio,332728778,56.56,0.63
Nebria brevicollis,110024,Coleoptera,Carabidae,pacbio,329751052,58.96,0.69
Nebria salina,878211,Coleoptera,Carabidae,10x,457828071,68.66,0.77
Nebria salina,878211,Coleoptera,Carabidae,10x,440111408,68.83,0.83
Nebria salina,878211,Coleoptera,Carabidae,pacbio,28491831,90.65,2.36
Nebria salina,878211,Coleoptera,Carabidae,pacbio,29780000,92.52,3.39
Nemophora degeerella,233164,Lepidoptera,Adelidae,10x,524038032,30.54,0.57
Nemophora degeerella,233164,Lepidoptera,Adelidae,10x,530166017,38.79,0.6
Nemophora degeerella,233164,Lepidoptera,Adelidae,10x,549922974,34.41,0.55
Nemophora degeerella,233164,Lepidoptera,Adelidae,10x,550478575,41.65,0.58
Nemoura avicularis,1258725,Plecoptera,Nemouridae,hic-arima,3451049134,99.18,4.95
Nephrotoma flavescens,2719080,Diptera,Tipiulidae,pacbio,960399075,39.2,2.3
Nephrotoma flavescens,2719080,Diptera,Tipiulidae,pacbio,996290585,49.92,2.66
Nephrotoma flavipalpis,2746509,Diptera,Tipulidae,10x,1206583037,35.89,0.76
Nephrotoma flavipalpis,2746509,Diptera,Tipulidae,10x,1205686590,46.26,0.97
Nephrotoma flavipalpis,2746509,Diptera,Tipulidae,pacbio,1910520627,57.88,1.02
Nephrotoma flavipalpis,2746509,Diptera,Tipulidae,pacbio,1931954166,65,1.22
Noctua fimbriata,753202,Lepidoptera,Noctuidae,hic-arima2,777720833,64.85,1.25
Noctua fimbriata,753202,Lepidoptera,Noctuidae,10x,604002558,33.56,1.66
Noctua fimbriata,753202,Lepidoptera,Noctuidae,10x,613087157,40.97,1.82
Noctua fimbriata,753202,Lepidoptera,Noctuidae,pacbio,569195537,29.44,1.56
Noctua fimbriata,753202,Lepidoptera,Noctuidae,pacbio,568751347,35.86,1.73
Noctua pronuba,214277,Lepidoptera,Noctuidae,10x,570867597,32.44,3.22
Noctua pronuba,214277,Lepidoptera,Noctuidae,10x,577910955,39.72,3.6
Noctua pronuba,214277,Lepidoptera,Noctuidae,pacbio,503631154,26.74,3.23
Noctua pronuba,214277,Lepidoptera,Noctuidae,pacbio,504922042,33.12,3.54
Nola cucullatella,987999,Lepidoptera,Nolidae,10x,546753313,51.87,0.48
Nola cucullatella,987999,Lepidoptera,Nolidae,10x,550739578,57.08,0.56
Nola cucullatella,987999,Lepidoptera,Nolidae,pacbio,491896877,45.6,0.43
Nola cucullatella,987999,Lepidoptera,Nolidae,pacbio,491148384,51.36,0.48
Nomada fabriciana,601510,Hymenoptera,Apidae,10x,247048539,22.83,0.55
Nomada fabriciana,601510,Hymenoptera,Apidae,10x,246274484,23.68,0.58
Nomada fabriciana,601510,Hymenoptera,Apidae,pacbio,225034325,13.11,0.51
Nomada fabriciana,601510,Hymenoptera,Apidae,pacbio,225010508,14.67,0.55
Notocelia uddmanniana,1594315,Lepidoptera,Tortricidae,10x,1875691813,91.14,0.03
Notocelia uddmanniana,1594315,Lepidoptera,Tortricidae,10x,872925691,52.32,1.14
Notocelia uddmanniana,1594315,Lepidoptera,Tortricidae,pacbio,829493299,42.5,0.83
Notocelia uddmanniana,1594315,Lepidoptera,Tortricidae,pacbio,828883107,50.02,0.89
Notodonta dromedarius,753204,Lepidoptera,Notodontidae,10x,361019993,32.12,1.56
Notodonta dromedarius,753204,Lepidoptera,Notodontidae,10x,360730907,36.37,1.7
Notodonta dromedarius,753204,Lepidoptera,Notodontidae,pacbio,339898572,25.17,1.49
Notodonta dromedarius,753204,Lepidoptera,Notodontidae,pacbio,339363912,30.16,1.61
Notonecta glauca,260537,Hemiptera,Notonectidae,pacbio,1065369587,21.69,0.96
Notonecta glauca,260537,Hemiptera,Notonectidae,pacbio,1061616994,25.26,1.03
Nymphalis polychloros,171594,Lepidoptera,Nymphalidae,10x,407622881,25.76,1.07
Nymphalis polychloros,171594,Lepidoptera,Nymphalidae,10x,410774917,31.41,1.15
Nymphalis polychloros,171594,Lepidoptera,Nymphalidae,pacbio,389478941,21.21,1.01
Nymphalis polychloros,171594,Lepidoptera,Nymphalidae,pacbio,390058123,26.95,1.08
Nysson spinosus,2495127,Hymenoptera,Crabronidae,10x,380817826,48.37,0.34
Nysson spinosus,2495127,Hymenoptera,Crabronidae,10x,364739447,48.38,0.37
Nysson spinosus,2495127,Hymenoptera,Crabronidae,pacbio,357583764,44.11,0.29
Nysson spinosus,2495127,Hymenoptera,Crabronidae,pacbio,336375702,43.27,0.3
Ochlodes sylvanus,876063,Lepidoptera,Hesperiidae,10x,392317145,26.28,1.33
Ochlodes sylvanus,876063,Lepidoptera,Hesperiidae,10x,398162595,30.84,1.49
Ochlodes sylvanus,876063,Lepidoptera,Hesperiidae,pacbio,362861099,18.28,1.29
Ochlodes sylvanus,876063,Lepidoptera,Hesperiidae,pacbio,362666886,22.22,1.44
Ochlodes sylvanus,876063,Lepidoptera,Hesperiidae,10x,351134691,22.13,1.47
Ochlodes sylvanus,876063,Lepidoptera,Hesperiidae,10x,355195516,26.14,1.67
Ochropleura plecta,320037,Lepidoptera,Noctuidae,10x,662384642,40.64,2.04
Ochropleura plecta,320037,Lepidoptera,Noctuidae,10x,666431165,46.33,2.3
Ocypus olens,662956,Coleoptera,Staphylinidae,10x,1031146258,49.58,0.75
Ocypus olens,662956,Coleoptera,Staphylinidae,10x,1025193592,59.14,0.88
Ocypus olens,662956,Coleoptera,Staphylinidae,pacbio,964537089,45.17,0.71
Ocypus olens,662956,Coleoptera,Staphylinidae,pacbio,949331902,55.49,0.85
Ocypus olens,662956,Coleoptera,Staphylinidae,hic-arima,1481343744,72.62,0.13
Ocypus olens,662956,Coleoptera,Staphylinidae,hic-arima,821592292,50.29,1.77
Odontocerum albicorne,446452,Trichoptera,Odontoceridae,10x,1427600649,31.98,0.69
Odontocerum albicorne,446452,Trichoptera,Odontoceridae,10x,1452703527,43.1,0.79
Odontocerum albicorne,446452,Trichoptera,Odontoceridae,hic-arima,1298067515,36.65,0.97
Oedemera lurida,351486,Coleoptera,Cerambycidae,10x,1136865785,49.54,4.3
Oedemera lurida,351486,Coleoptera,Cerambycidae,10x,1136707707,57.62,4.75
Oedemera lurida,351486,Coleoptera,Cerambycidae,pacbio,1110426804,46.71,4.05
Oedemera lurida,351486,Coleoptera,Cerambycidae,pacbio,1103900735,55.24,4.64
Oedemera nobilis,116146,Coleoptera,Oedemeridae,10x,1583169060,46.69,1.86
Oedemera nobilis,116146,Coleoptera,Oedemeridae,10x,1584564128,56.23,2.21
Oedemera nobilis,116146,Coleoptera,Oedemeridae,pacbio,346952686,21.37,0.56
Oedemera nobilis,116146,Coleoptera,Oedemeridae,pacbio,346330256,27.25,0.61
Opisthograptis luteolata,934882,Lepidoptera,Geometridae,10x,409676266,34.31,0.93
Opisthograptis luteolata,934882,Lepidoptera,Geometridae,10x,414171965,40.13,1.02
Opisthograptis luteolata,934882,Lepidoptera,Geometridae,pacbio,391795289,29.45,0.88
Opisthograptis luteolata,934882,Lepidoptera,Geometridae,pacbio,392062251,35.34,0.96
Opostega salaciella,753213,Lepidoptera,Opostegidae,10x,319194325,30.02,0.74
Opostega salaciella,753213,Lepidoptera,Opostegidae,10x,322607191,37.08,0.8
Orectochilus villosus,107782,Coleoptera,Gyrinidae,10x,712875983,42.57,1.52
Orectochilus villosus,107782,Coleoptera,Gyrinidae,10x,700191110,46.75,1.78
Pandemis cerasana,572788,Lepidoptera,Tortricidae,pacbio,834172156,54.41,0.52
Pandemis cerasana,572788,Lepidoptera,Tortricidae,pacbio,830627530,60.7,0.59
Panorpa germanica,50603,Mecoptera,Panorpidae,10x,587220378,50.05,1.25
Panorpa germanica,50603,Mecoptera,Panorpidae,10x,572198809,54.34,1.47
Pantilius tunicatus,1511241,Hemiptera,Miridae,10x,1446634820,43.07,0.32
Pantilius tunicatus,1511241,Hemiptera,Miridae,10x,1448575699,51.68,0.35
Pantilius tunicatus,1511241,Hemiptera,Miridae,pacbio,1217708818,33.82,0.41
Pantilius tunicatus,1511241,Hemiptera,Miridae,pacbio,1217341572,43.58,0.47
Papilio machaon,76193,Lepidoptera,Papilionidae,10x,255606800,25.48,3.07
Papilio machaon,76193,Lepidoptera,Papilionidae,10x,257098358,29.62,3.31
Papilio machaon,76193,Lepidoptera,Papilionidae,pacbio,239740519,16.22,3
Papilio machaon,76193,Lepidoptera,Papilionidae,pacbio,239707962,20.25,3.24
Parapoynx stratiotata,1594321,Lepidoptera,Crambidae,10x,437151051,29.66,2.38
Parapoynx stratiotata,1594321,Lepidoptera,Crambidae,10x,434135000,33.61,2.79
Parapoynx stratiotata,1594321,Lepidoptera,Crambidae,pacbio,475641716,24.88,1.62
Parapoynx stratiotata,1594321,Lepidoptera,Crambidae,pacbio,474449484,31.45,1.75
Pararge aegeria tircis,348721,Lepidoptera,Nymphalidae,10x,549196885,26.39,0.58
Pararge aegeria tircis,348721,Lepidoptera,Nymphalidae,10x,553979671,34.01,0.67
Pararge aegeria tircis,348721,Lepidoptera,Nymphalidae,pacbio,509181778,20.56,0.54
Pararge aegeria tircis,348721,Lepidoptera,Nymphalidae,pacbio,509273821,28.49,0.62
Pardosa saltans,1926210,Chelicerata,Lycosidae,10x,2570374115,41.27,1.47
Pardosa saltans,1926210,Chelicerata,Lycosidae,10x,2577763093,49.44,1.61
Pardosa saltans,1926210,Chelicerata,Lycosidae,pacbio,2401464135,37.9,1.47
Pardosa saltans,1926210,Chelicerata,Lycosidae,pacbio,2397807045,46.75,1.65
Phalera bucephala,753216,Lepidoptera,Notodontidae,10x,977222711,45.07,1.28
Phalera bucephala,753216,Lepidoptera,Notodontidae,10x,985921281,54.18,1.47
Phalera bucephala,753216,Lepidoptera,Notodontidae,pacbio,922347506,40.57,1.19
Phalera bucephala,753216,Lepidoptera,Notodontidae,pacbio,921039850,50.14,1.36
Phasia hemiptera,1918142,Diptera,Tachinidae,10x,1046657527,30.72,1.02
Phasia hemiptera,1918142,Diptera,Tachinidae,10x,1063619337,43.47,1.12
Phasia hemiptera,1918142,Diptera,Tachinidae,pacbio,1033225581,41.82,1.05
Pheosia gnoma,988018,Lepidoptera,Notodontidae,pacbio,280314989,17.16,0.73
Pheosia gnoma,988018,Lepidoptera,Notodontidae,pacbio,280484319,21.43,0.83
Pheosia tremula,988019,Lepidoptera,Notodontidae,pacbio,293060403,18.95,0.64
Pheosia tremula,988019,Lepidoptera,Notodontidae,pacbio,292975755,23.42,0.71
Phlogophora meticulosa,875884,Lepidoptera,Noctuidae,10x,545446643,26.55,1.14
Phlogophora meticulosa,875884,Lepidoptera,Noctuidae,10x,548129622,32.42,1.26
Phlogophora meticulosa,875884,Lepidoptera,Noctuidae,pacbio,540248815,24.55,1.04
Phlogophora meticulosa,875884,Lepidoptera,Noctuidae,pacbio,542824831,30.55,1.19
Pholcus phalangioides,6932,Chelicerata,Pholcidae,10x,1340036393,40.53,0.83
Pholcus phalangioides,6932,Chelicerata,Pholcidae,10x,1359202628,49.71,0.9
Pholcus phalangioides,6932,Chelicerata,Pholcidae,pacbio,1186359139,42.64,2.05
Pholis gunnellus,56726,Perciformes,Pholidae,10x,756343291,32.25,0.37
Pholis gunnellus,56726,Perciformes,Pholidae,10x,774587492,36.15,0.41
Pieris brassicae brassicae,596636,Lepidoptera,Pieridae,hic-qiagen,955062241,95.67,1.93
Pieris brassicae brassicae,596636,Lepidoptera,Pieridae,hic-qiagen,911021135,95.42,2.96
Pieris brassicae brassicae,596636,Lepidoptera,Pieridae,10x,288176941,20.07,0.73
Pieris brassicae brassicae,596636,Lepidoptera,Pieridae,10x,288297634,24.46,0.8
Pieris brassicae brassicae,596636,Lepidoptera,Pieridae,pacbio,274667872,14.49,0.7
Pieris brassicae brassicae,596636,Lepidoptera,Pieridae,pacbio,273807408,19.38,0.77
Pieris napi,78633,Lepidoptera,Pieridae,10x,336505960,31.03,3.09
Pieris napi,78633,Lepidoptera,Pieridae,10x,337057882,36.35,3.39
Pieris napi,78633,Lepidoptera,Pieridae,pacbio,315453436,26.08,3.06
Pieris napi,78633,Lepidoptera,Pieridae,pacbio,315241819,31.74,3.35
Pieris napi,78633,Lepidoptera,Pieridae,10x,335815131,32.78,3.2
Pieris napi,78633,Lepidoptera,Pieridae,10x,336357728,38.2,3.54
Pieris napi,78633,Lepidoptera,Pieridae,pacbio,310565885,26.86,3.14
Pieris napi,78633,Lepidoptera,Pieridae,pacbio,310603820,32.22,3.47
Pieris rapae,64459,Lepidoptera,Pieridae,10x,261134939,21.18,2.09
Pieris rapae,64459,Lepidoptera,Pieridae,10x,261832237,25.04,2.31
Pieris rapae,64459,Lepidoptera,Pieridae,pacbio,248469730,13.56,1.99
Pieris rapae,64459,Lepidoptera,Pieridae,pacbio,249205740,17.8,2.2
Pisaura mirabilis,1155755,Chelicerata,Pisauridae,10x,2187406280,32.78,1.81
Pisaura mirabilis,1155755,Chelicerata,Pisauridae,10x,2169638239,39.48,1.92
Pisaura mirabilis,1155755,Chelicerata,Pisauridae,10x,2234334876,34.15,1.82
Pisaura mirabilis,1155755,Chelicerata,Pisauridae,10x,2240598684,41.25,1.93
Piscicola geometra,60958,Rhynchobdellida,Piscicolidae,pacbio,171071735,33.83,1
Piscicola geometra,60958,Rhynchobdellida,Piscicolidae,pacbio,168760345,38.81,1.1
Pisidia longicornis,874270,Decapoda,Porcellanidae,10x,856207888,64.72,1.08
Pisidia longicornis,874270,Decapoda,Porcellanidae,10x,862096882,68.35,1.2
Pisidium nitidum,192231,Veneroida,Sphaeriidae,10x,3645663445,53.45,0.13
Pisidium nitidum,192231,Veneroida,Sphaeriidae,10x,3647585536,63.75,0.25
Plagodis dolabraria,934889,Lepidoptera,Geometridae,10x,973916076,39.69,0.88
Plagodis dolabraria,934889,Lepidoptera,Geometridae,10x,983728309,47.03,0.99
Plagodis dolabraria,934889,Lepidoptera,Geometridae,hic-arima,1188907757,71.5,1.12
Planococcus citri,170843,Hemiptera,Pseudococcidae,10x,427700831,27.67,0.17
Planococcus citri,170843,Hemiptera,Pseudococcidae,10x,431437981,34.27,0.22
Planorbarius corneus,240818,Hygrophila,Planorbidae,hic-arima,1123285914,54.83,1.99
Planorbarius corneus,240818,Hygrophila,Planorbidae,hic-arima,1258256546,61.66,2.58
Planorbis planorbis,191805,Hygrophila,Planorbidae,pacbio,1360724,76.13,2.75
Planorbis planorbis,191805,Hygrophila,Planorbidae,pacbio,794247,73.19,3.94
Planorbis planorbis,191805,Hygrophila,Planorbidae,hic-arima,1273484252,33.8,0.23
Planorbis planorbis,191805,Hygrophila,Planorbidae,hic-arima,1250503581,45.66,0.38
Platycheirus albimanus,414846,Diptera,Syrphidae,10x,784533506,53.03,2.33
Platycheirus albimanus,414846,Diptera,Syrphidae,10x,777324279,57.68,2.7
Platycheirus albimanus,414846,Diptera,Syrphidae,pacbio,595266251,41.82,2.36
Platycheirus albimanus,414846,Diptera,Syrphidae,pacbio,602714320,48.38,2.83
Plebejus argus,242267,Lepidoptera,Lycanidae,10x,406678358,40.02,1.66
Plebejus argus,242267,Lepidoptera,Lycanidae,10x,409711093,45.53,1.73
Plebejus argus,242267,Lepidoptera,Lycanidae,pacbio,380153968,32.67,1.65
Plebejus argus,242267,Lepidoptera,Lycanidae,pacbio,379458783,38.29,1.72
Plutella xylostella,51655,Lepidoptera,Plutellidae,pacbio,323216274,32.43,3.2
Plutella xylostella,51655,Lepidoptera,Plutellidae,pacbio,322980857,36.31,3.56
Plutella xylostella,51655,Lepidoptera,Plutellidae,10x,343100280,35.75,3.11
Plutella xylostella,51655,Lepidoptera,Plutellidae,10x,344434049,40.19,3.52
Podabrus alpinus,1553677,Coleoptera,Cantharidae,10x,896604032,57.53,0.48
Podabrus alpinus,1553677,Coleoptera,Cantharidae,10x,897214312,63.37,0.52
Polygonia c-album,929971,Lepidoptera,Nymphalidae,10x,387399711,25.78,2.16
Polygonia c-album,929971,Lepidoptera,Nymphalidae,10x,388842153,30.76,2.33
Polygonia c-album,929971,Lepidoptera,Nymphalidae,pacbio,369816260,21.14,2.07
Polygonia c-album,929971,Lepidoptera,Nymphalidae,pacbio,369252736,25.73,2.23
Polyommatus icarus,265386,Lepidoptera,Lycaenidae,hic-arima2,453309189,66.21,2.97
Polyommatus icarus,265386,Lepidoptera,Lycaenidae,10x,559768151,46.59,1.71
Polyommatus icarus,265386,Lepidoptera,Lycaenidae,10x,564080913,53.08,1.8
Polyommatus icarus,265386,Lepidoptera,Lycaenidae,pacbio,527415769,42.1,1.63
Polyommatus icarus,265386,Lepidoptera,Lycaenidae,pacbio,527754357,49.05,1.71
Prays fraxinella,572880,Lepidoptera,Praydidae,10x,405679809,43.77,1.18
Prays fraxinella,572880,Lepidoptera,Praydidae,10x,408485719,49.3,1.27
Propylea quatuordecimpunctata,558720,Coleoptera,Coccinellidae,10x,617844484,51.92,3.36
Propylea quatuordecimpunctata,558720,Coleoptera,Coccinellidae,10x,613178269,58.95,3.79
Propylea quatuordecimpunctata,558720,Coleoptera,Coccinellidae,pacbio,608163110,50.8,3.26
Propylea quatuordecimpunctata,558720,Coleoptera,Coccinellidae,pacbio,601910156,58.18,3.67
Pseudargyrotoza conwagana,1101037,Lepidoptera,Tortricidae,10x,478123293,38.87,1.06
Pseudargyrotoza conwagana,1101037,Lepidoptera,Tortricidae,10x,486620714,44.49,1.13
Pterophorus pentadactyla,1572507,Lepidoptera,Pterophoridae,10x,408997467,38.35,0.39
Pterophorus pentadactyla,1572507,Lepidoptera,Pterophoridae,10x,414168012,44.48,0.36
Pterostichus madidus,767470,Coleoptera,Carabidae,10x,735552172,47.02,0.76
Pterostichus madidus,767470,Coleoptera,Carabidae,10x,730537206,55.72,0.9
Pterostichus madidus,767470,Coleoptera,Carabidae,pacbio,694255325,43.6,0.75
Pterostichus madidus,767470,Coleoptera,Carabidae,pacbio,690103889,53.04,0.88
Pterostoma palpina,987447,Lepidoptera,Notodontidae,10x,454107128,30.17,1.5
Pterostoma palpina,987447,Lepidoptera,Notodontidae,10x,458572919,37.91,1.68
Pyrgus malvae,218760,Lepidoptera,Hesperiidae,10x,761699981,41.2,2.21
Pyrgus malvae,218760,Lepidoptera,Hesperiidae,10x,766523563,48.25,2.44
Pyrgus malvae,218760,Lepidoptera,Hesperiidae,pacbio,728776469,37.62,2.14
Pyrgus malvae,218760,Lepidoptera,Hesperiidae,pacbio,727783541,44.99,2.35
Pyrochroa serraticornis,346838,Coleoptera,Pyrochroidae,10x,301729212,39.29,0.7
Pyrochroa serraticornis,346838,Coleoptera,Pyrochroidae,10x,303047136,41.95,0.81
Radix auricularia,52793,Hygrophila,Lymnaeidae,hic-arima,1863604688,65.77,0.84
Radix auricularia,52793,Hygrophila,Lymnaeidae,hic-arima,1879362043,69.19,1.14
Rattus norvegicus,10116,Rodentia,Muridae,hic-arima,2541019831,18.57,0.31
Rattus norvegicus,10116,Rodentia,Muridae,hic-arima,2499001788,25.22,0.45
Recurvaria leucatella,1594339,Lepidoptera,Gelechiidae,10x,756499277,40.9,0.89
Recurvaria leucatella,1594339,Lepidoptera,Gelechiidae,10x,764976517,50.14,1.02
Recurvaria leucatella,1594339,Lepidoptera,Gelechiidae,pacbio,740971231,35.56,0.71
Recurvaria leucatella,1594339,Lepidoptera,Gelechiidae,pacbio,740375442,45.17,0.77
Rhagio scolopaceus,2484562,Diptera,Rhagionidae,10x,1415934051,52.89,1.12
Rhagio scolopaceus,2484562,Diptera,Rhagionidae,10x,1411860771,60.9,1.23
Rhagonycha fulva,41101,Coleoptera,Cantharidae,10x,386089762,33.44,0.6
Rhagonycha fulva,41101,Coleoptera,Cantharidae,10x,384712458,38.54,0.66
Rhagonycha fulva,41101,Coleoptera,Cantharidae,pacbio,374812275,30.57,0.58
Rhagonycha fulva,41101,Coleoptera,Cantharidae,pacbio,371016711,35.79,0.64
Rhingia campestris,226161,Diptera,Syrphidae,10x,769478779,48.29,2.05
Rhingia campestris,226161,Diptera,Syrphidae,10x,762388708,54.36,2.25
Rhingia campestris,226161,Diptera,Syrphidae,pacbio,539884569,38.78,2.19
Rhingia campestris,226161,Diptera,Syrphidae,pacbio,547122858,46.21,2.54
Rhopalus subrufus,1511249,Hemiptera,Rhopalidae,hic-arima,2415033999,57.38,1.14
Rhopalus subrufus,1511249,Hemiptera,Rhopalidae,hic-arima,2422264754,65.61,1.25
Rhyacophila dorsalis,1178152,Trichoptera,Rhyacophilidae,10x,707629716,27.82,1.59
Rhyacophila dorsalis,1178152,Trichoptera,Rhyacophilidae,10x,713158056,35.42,1.81
Rivula sericealis,753224,Lepidoptera,Erebidae,10x,489817429,40.19,2.15
Rivula sericealis,753224,Lepidoptera,Erebidae,10x,493898317,45.05,2.41
Sacculina carcini,51650,Kentrogonida,Sacculinidae,10x,482256610,73.55,2.06
Sacculina carcini,51650,Kentrogonida,Sacculinidae,10x,455654060,75.63,2.44
Sacculina carcini,51650,Kentrogonida,Sacculinidae,pacbio,266685630,51.21,1.99
Sacculina carcini,51650,Kentrogonida,Sacculinidae,pacbio,263781531,55.83,2.13
Satyrium walbum,876055,Lepidoptera,Lycaenidae,10x,1313396840,49.47,1.06
Satyrium walbum,876055,Lepidoptera,Lycaenidae,10x,1327192845,59.64,1.26
Satyrium walbum,876055,Lepidoptera,Lycaenidae,pacbio,1241039974,46.21,0.99
Satyrium walbum,876055,Lepidoptera,Lycaenidae,pacbio,1242014984,56.89,1.17
Scaeva pyrastri,219539,Diptera,Syrphidae,10x,342618050,29.03,2.1
Scaeva pyrastri,219539,Diptera,Syrphidae,10x,340077148,31.53,2.3
Scaeva pyrastri,219539,Diptera,Syrphidae,pacbio,308642698,14.81,2.11
Scaeva pyrastri,219539,Diptera,Syrphidae,pacbio,306705421,19.21,2.29
Scathophaga stercoraria,95463,Diptera,Scathophagidae,10x,550279090,55.66,4.57
Scathophaga stercoraria,95463,Diptera,Scathophagidae,pacbio,372030490,29.94,3.41
Scathophaga stercoraria,95463,Diptera,Scathophagidae,pacbio,384344208,38.61,3.9
Schrankia costaestrigalis,411963,Lepidoptera,Erebidae,10x,596982575,41.21,0.94
Schrankia costaestrigalis,411963,Lepidoptera,Erebidae,10x,596990503,45.68,1.09
Schrankia costaestrigalis,411963,Lepidoptera,Erebidae,pacbio,580449723,38.32,0.88
Schrankia costaestrigalis,411963,Lepidoptera,Erebidae,pacbio,580138860,43.19,1.02
Sericostoma personatum,1271737,Trichoptera,Sericostomatidae,10x,1837287291,59.54,2.14
Shargacucullia verbasci,987469,Lepidoptera,Noctuidae,10x,443890645,27.73,1.92
Shargacucullia verbasci,987469,Lepidoptera,Noctuidae,10x,448997332,33.01,2.12
Sialis lutaria,279420,Megaloptera,Sialidae,pacbio,310980,64.11,3.58
Sialis lutaria,279420,Megaloptera,Sialidae,pacbio,425652,68.79,4.81
Sialis lutaria,279420,Megaloptera,Sialidae,hic-arima,764724129,70.2,0.26
Sialis lutaria,279420,Megaloptera,Sialidae,hic-arima,776395361,77.44,0.28
Sicus ferrugineus,1219204,Diptera,Conopidae,hic-arima2,272727056,55.03,3.17
Sicus ferrugineus,1219204,Diptera,Conopidae,hic-arima2,241843812,50.22,5.27
Sicus ferrugineus,1219204,Diptera,Conopidae,10x,381570334,61.74,1.55
Sicus ferrugineus,1219204,Diptera,Conopidae,10x,372843636,63.4,1.94
Sicus ferrugineus,1219204,Diptera,Conopidae,pacbio,309139068,51.92,1.41
Sicus ferrugineus,1219204,Diptera,Conopidae,pacbio,309717595,55.5,1.73
Silo pallipes,1523455,Trichoptera,Goeridae,10x,1127331543,43.25,1.04
Silo pallipes,1523455,Trichoptera,Goeridae,10x,1147577357,50.75,1.27
Silo pallipes,1523455,Trichoptera,Goeridae,pacbio,9985829,85.4,2.57
Silo pallipes,1523455,Trichoptera,Goeridae,pacbio,17412176,87.65,3.82
Silo pallipes,1523455,Trichoptera,Goeridae,hic-arima,1837589110,71.47,0.85
Silo pallipes,1523455,Trichoptera,Goeridae,hic-arima,2174212003,84.21,1.14
Silpha atrata,414934,Coleoptera,Silphidae,10x,1239540830,50.23,2.12
Silpha atrata,414934,Coleoptera,Silphidae,10x,1232256943,60.73,2.45
Sphaerophoria scripta,226180,Diptera,Syrphidae,10x,578229366,45.82,3.06
Sphaerophoria scripta,226180,Diptera,Syrphidae,10x,577188918,53.19,3.31
Sphaerophoria scripta,226180,Diptera,Syrphidae,hic-arima,892754108,60.39,0.95
Spilosoma lubricipeda,875880,Lepidoptera,Erebidae,pacbio,589297202,25.52,1.81
Spilosoma lubricipeda,875880,Lepidoptera,Erebidae,pacbio,589998299,32.98,2
Stauropus fagi,753423,Lepidoptera,Notodontidae,10x,408342580,22.51,0.78
Stauropus fagi,753423,Lepidoptera,Notodontidae,10x,408264581,30.08,0.87
Stenodema laevigata,1511253,Hemiptera,Miridae,10x,1001387107,54.06,0.8
Stenodema laevigata,1511253,Hemiptera,Miridae,10x,990283907,59.39,0.88
Subcoccinella vigintiquatuorpunctata,295815,Coleoptera,Coccinellidae,10x,650182847,48.61,1.9
Subcoccinella vigintiquatuorpunctata,295815,Coleoptera,Coccinellidae,10x,631162642,52.73,2.25
Sympetrum striolatum,6969,Odonata,Libellulidae,pacbio,1404420558,35.65,1.73
