Date,Category,Commendation,Camera,Lens,FocalLength,ShutterSpeed,Aperture,ISO
2020,Wildlife Photojournalist Story Award,Highly Commended,Canon EOS-1D X Mark II,24–105mm f4 lens,105mm,1/1000sec,f9.5,-
2020,Wildlife Photojournalist Story Award,Highly Commended,Canon EOS 5D Mark IV,24–105mm f4 lens,105mm,1/30sec,f8,-
2020,Wildlife Photojournalist Story Award,Highly Commended,Canon EOS-1D X Mark II,24–105mm f4 lens,105mm,1/90sec,f11,-
2020,Wildlife Photojournalist Story Award,Highly Commended,Canon EOS 7D Mark II,24–105mm f4 lens,105mm,1/200sec,f19,-
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,Canon 500mm f4.5 lens,500mm,1/2000sec,f7.1(+1.0),ISO800
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,Canon 500mm f4.5 lens,500mm,1/640sec,f5.6(+1e/v),-
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,Canon 100–400mm f4.5/5.6 lens,400mm,1/1250sec,f6.3(+1e/v),-
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,Canon 500mm f4.5 lens,500mm,1/1000sec,f6.3(-0.3e/v),-
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,500mm f4.5 lens,500mm,1/1250sec,f5.6(+1e/v),-
2020,Rising Star Portfolio Award,Winner,Canon EOS 7D Mark II,500mm f4.5 lens,500mm,1/6400sec,f6.3,-
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D5200,Tamron 90mm f2.8 lens,90mm,1/160sec,f8,ISO160
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D5200,Laowa 15mm f4 lens,15mm,1/250sec,f16,ISO200
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D500,18–55mm lens (reverse-mounted),55mm,1/160sec,-,ISO200
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D500,Tamron 90mm f2.8 lens,90mm,1/250sec,f11,ISO500
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D60,Tamron 90mm lens,90mm,1/100sec,f5,-
2020,Wildlife Photographer Portfolio Award,Winner,Nikon D5200,Tamron 90mm f2.8 lens,90mm,1/125sec,f18,ISO400
2020,10 Years and Under,Winner,Fujifilm X-H1,XF 100–400mm f4.5–5.6 lens,400mm,1/50sec,f5.6,-
2020,10 Years and Under,Highly Commended,Nikon D500,300mm f4 lens,300mm,1/500sec,f4,-
2020,10 Years and Under,Highly Commended,Olympus E-M5 Mark II,40–150mm f2.8 lens,150mm,1/1250sec,f4,-
2020,10 Years and Under,Highly Commended,Nikon D5000,Nikkor 85mm lens,85mm,1/1600sec,f6.3,-
2020,10 Years and Under,Highly Commended,Nikon D5,500mm f4 lens,500mm,1/6400sec,f4,ISO1600
2020,11-14 Years,Winner,Nikon D300,105mm f2.8 lens,105mm,1/250sec,f18,ISO200
2020,11-14 Years,Highly Commended,Nikon D500,500mm f4 lens,500mm,1/1600sec,f4(-0.7e/v),-
2020,11-14 Years,Highly Commended,Sony DSC-HX400V,24–210mm f2.8–6.3 lens,210mm,1/250sec,f5.6,-
2020,15-17 Years,Young Grand Title Winner 2020,Nikon D4,28–300mm f3.5–5.6 lens,300mm,1/125sec,f5.6(-0.3e/v),-
2020,15-17 Years,Highly Commended,Nikon D800,70–200mm f2.8 lens,200mm,1/1600sec,f4,-
2020,15-17 Years,Highly Commended,Canon EOS-1D X Mark II,500mm f4 lens,500mm,1/2500sec,f9,ISO640
2020,15-17 Years,Highly Commended,Nikon D850,300mm f4 lens,300mm,1/2000sec,f4,-
2019,Animals in their Environment,Winner,Nikon D5,600mm f4 lens,600mm,1/1250sec,f6.3(+0.3e/v),ISO125
2019,Animals in their Environment,Highly Commended,Nikon D800,70–300mm f4.5–5.6 lens , 300mm,1/500sec,f8,-
2019,Animals in their Environment,Highly Commended,Nikon D3X,600mm f4 lens,600mm,1/500sec,f11(-0.7e/v),ISO160
2019,Animals in their Environment,Highly Commended,Nikon D5,16–35mm f4 lens , 27mm,1/3sec,f6.3,ISO1250
2019,Animals in their Environment,Highly Commended,Canon EOS 550D,Sigma 10–20mm f4–5.6 lens , 13mm,-,f9(-2e/v),ISO400
2019,Animals in their Environment,Highly Commended,Canon EOS 5D Mark IV,24–105mm f4 lens , 97mm,1/8000sec,f4,-
2019,Animals in their Environment,Highly Commended,Nikon D800E,24–70mm f2.8 lens , 56mm,1/40sec,f11,-
2019,Animals in their Environment,Highly Commended,Nikon D5,24–70mm f2.8 lens , 32mm,1/200sec,f18,ISO200
2019,Animals in their Environment,Highly Commended,Canon EOS-1D X Mark II,100–400mm f4.5–5.6 lens , 148mm,1/200sec,f8,-
2019,Animal Portraits,Winner,Nikon D500,18–55mm lens (reverse mounted),55mm,1/160sec,-,ISO200
2019,Animal Portraits,Highly Commended,Canon EOS-1D X Mark II,600mm f4 lens,600mm,1/1500sec,f5.6,ISO1000
2019,Animal Portraits,Highly Commended,Sony α7R III,90mm f2.8 lens,90mm,1/160sec,f13,ISO125
2019,Behaviour: Amphibians and Reptiles,Winner,Canon EOS 5D Mark II,17–40mm f4 lens , 20mm,1/640sec,f8(+0.7e/v),ISO800
2019,Behaviour: Amphibians and Reptiles,Highly Commended,Sony RX10 IV,Zeiss Vario-Sonnar 8.8–220mm f2.4–4 lens,220mm,1/2000sec,f6.3,-
2019,Behaviour: Amphibians and Reptiles,Highly Commended,Canon EOS 6D,100mm f2.8 lens,100mm,1/100sec,f16,ISO200
2019,Behaviour: Birds,Winner,Canon EOS 5D Mark IV,11–24mm f4 lens , 11m,1/2500sec,f14(-1e/v),ISO800
2019,Behaviour: Birds,Highly Commended,Nikon D5,600mm f4 lens,600mm,1/200sec,f4.5,ISO640
2019,Behaviour: Birds,Highly Commended,Nikon D5,24–70mm f2.8 lens , 24mm,1/200sec,f18,ISO640
2019,Behaviour: Birds,Highly Commended,Nikon D500,300mm f2.8 lens,300mm,1/1600sec,f8(+0.3e/v),ISO1600
2019,Behaviour: Invertebrates,Winner,Canon EOS 7D,16–35mm f2.8 lens , 16mm,-,f22,ISO100
2019,Behaviour: Invertebrates,Highly Commended,Sony α7R III,100mm f2.8 lens,100mm,1/160sec,f16,ISO800
2019,Behaviour: Invertebrates,Highly Commended,Nikon D500,18–55mm lens (reverse mounted),55mm,1/125sec,-,ISO125
2019,Behaviour: Invertebrates,Highly Commended,Canon EOS 70D,100mm f2.8 lens,100mm,1/250sec,f16,ISO400
2019,Behaviour: Invertebrates,Highly Commended,Nikon D500,10mm f2.8 lens,10mm,-,f13,ISO800
2019,Behaviour: Invertebrates,Highly Commended,Nikon D500,85mm f3.5 lens,85mm,1/50sec,f29(+2e/v),-
2019,Behaviour: Invertebrates,Highly Commended,Canon EOS 7D Mark II,300mm f4 lens,300mm,1/640sec,f4,-
2019,Behaviour: Mammals,Joint Winner,Canon EOS-1DX Mark II,600mm f4 lens,600mm,1/3000sec,f4,ISO1000
2019,Behaviour: Mammals,Adult Grand Title Winner,Canon EOS-1D X,800mm f5.6 lens,800mm,1/2500sec,f5.6(+0.67e/v),ISO640
2019,Behaviour: Mammals,Highly Commended,Nikon D4S,400mm f2.8 lens,400mm,1/640sec,f5,-
2019,Behaviour: Mammals,Highly Commended,Canon EOS 7D Mark II,100–400mm f4.5–5.6 lens , 110mm,1/2500sec,f10,-
2019,Behaviour: Mammals,Highly Commended,Nikon D750,400mm f2.8 lens,400mm,1/2000sec,f6.3(-0.7e/v),ISO640
2019,Behaviour: Mammals,Highly Commended,Canon EOS 5D Mark IV,Tamron 150–600mm f5–6.3 G2 lens,600mm,1/2000sec,f6.3,-
2019,Plants and Fungi,Winner,Nikon D850,70–200mm f2.8 lens , 112mm,1/4sec,f8,ISO64
2019,Plants and Fungi,Highly Commended,Canon EOS 5D Mark III,17–40mm f4 lens , 19mm,1/80sec,f13,-
2019,Plants and Fungi,Highly Commended,Canon EOS 5D Mark IV,Sigma 120–300mm f2.8 lens , 180mm,1/30sec,f25,-
2019,Plants and Fungi,Highly Commended,Canon EOS 5D Mark II,100mm f2.8 lens,100mm,-,f5.6,ISO100
2019,Plants and Fungi,Highly Commended,Sony α7R,16–35mm f4 lens , 16mm,1/40sec,f8,ISO200
2019,Plants and Fungi,Highly Commended,Nikon D90,50mm f1.8 lens,50mm,1/640sec,f1.8,-
2019,Under Water,Winner,Nikon D3,17–35mm f2.8 lens , 19mm,1/40sec,f14,ISO400
2019,Under Water,Highly Commended,Nikon D800,Sigma 20 mm f1.8 lens,20 mm,1/250sec,f16,ISO50
2019,Under Water,Highly Commended,Nikon D850,60mm f2.8 lens,60mm,-,f29,ISO160
2019,Under Water,Highly Commended,Canon EOS 5D Mark IV,Sigma 70mm f2.8 Macro Art lens,70mm,1/200sec,f16,ISO400
2019,Under Water,Highly Commended,Canon EOS 6D,15mm f2.8 fisheye lens,15mm,1/200sec,f7.1,ISO500
2019,Under Water,Highly Commended,Nikon D810,60mm f2.8 lens,60mm,1/320sec,f22,ISO64
2019,Urban Wildlife,Winner,Sony α7R III,16–35mm f4 lens , 24mm,1/20sec,f11,ISO4000
2019,Urban Wildlife,Highly Commended,Nikon D810,70–200mm f2.8 lens , 145mm,-,f2.8(-0.7e/v),ISO800
2019,Urban Wildlife,Highly Commended,Canon EOS 7D Mark II,16–35mm f2.8 lens , 16mm,1/200sec,f9,ISO1000
2019,Urban Wildlife,Highly Commended,Nikon D750,50mm f1.8 lens,50mm,1/40sec,f3.5(+1e/v),ISO64
2019,Earth’s Environments,Winner,Sony α7R III,100–400mm f4.5–5.6 lens , 196mm,1/4000sec,f5.6,-
2019,Earth’s Environments,Highly Commended,Nikon D3S,80–200mm f2.8 lens , 155mm,1/400sec,f8,-
2019,Earth’s Environments,Highly Commended,DJI Mavic Pro,26mm f2.2 lens,26mm,1/3200sec,f2.2,-
2019,Earth’s Environments,Highly Commended,DJI Phantom 4 Pro,8.8mm lens,8mm,1/100sec,f4.5,-
2019,Black and White,Winner,Canon EOS-1D X,100–400mm f5.6 lens , 200mm,1/15sec,f22(+1e/v),-
2019,Black and White,Highly Commended,Nikon D850,28–70mm f3.5–4.5 lens , 31mm,1/60sec,f11,ISO500
2019,Black and White,Highly Commended,Nikon D4S,105mm f2.8 lens,105mm,1/25sec,f16,ISO1600
2019,Black and White,Highly Commended,Canon EOS 7D Mark II,100–400mm f4.5–5.6 lens , 400mm,1/500sec,f8,-
2019,Wildlife Photojournalism,Winner,Nikon D850,Sigma 14–24mm f2.8 lens , 16mm,-,f2.8,ISO1600
2019,Wildlife Photojournalism,Highly Commended,Nikon D800,17–35mm f2.8 lens,35mm,1/250sec,f3.2(+0.3e/v),-
2019,Wildlife Photojournalism,Highly Commended,Panasonic Lumix DC-G9,12–60mm f2.8–4.0 lens,60mm,1/200sec,f6.3,-
2019,Wildlife Photojournalism,Highly Commended,Nikon D3S,16mm f2.8 lens,16mm,1/400sec,f9,ISO1250
2019,Wildlife Photojournalism,Highly Commended,DJI Phantom 4 Pro,24mm lens,24mm,1/2000sec,f4,-
2019,Wildlife Photojournalism,Highly Commended,Canon EOS 700D,18–55mm f3.5–5.6 lens,55mm,1/1250sec,f4.5,-
2019,Wildlife Photojournalism,Highly Commended,Canon EOS-1D X,24–105mm f4 lens , 24mm,1/500sec,f14,-
2019,Wildlife Photojournalism,Highly Commended,Nikon D810,24–70mm f2.8 lens , 24mm,1/160sec,f2.8,-
2019,Wildlife Photojournalism,Highly Commended,DJI Mavic Pro,26mm f2.2 lens,26mm,1/30sec,-,-
2019,Wildlife Photojournalist Story Award,Winner,Canon EOS 5D Mark IV,24–70mm f2.8 lens,70mm,1/160sec,f10(-1.7e/v),-
2019,Wildlife Photojournalist Story Award,Winner,Canon EOS-1D X Mark II,16–35mm f2.8 lens,35mm,1/20sec,f11,ISO6400
2019,Wildlife Photojournalist Story Award,Winner,Canon EOS 5D Mark III,24–70mm f2.8 lens,70mm,1/125sec,f2.8,-
2019,Wildlife Photojournalist Story Award,Winner,Canon EOS 5D Mark III,24–70mm f2.8 lens,70mm,1/125sec,f2.8,-
2019,Wildlife Photojournalist Story Award,Winner,Canon EOS-1D X,24–70mm f2.8 lens,70mm,1/320sec,f5.6(-0.3e/v),-
2019,Wildlife Photojournalist Story Award,Winner,Canon EOS-1D X Mark II,24–70mm f2.8 lens,70mm,1/60sec,f16,ISO500
2019,Wildlife Photojournalist Story Award,Highly Commended,Nikon D7100,10–24mm f3.5–4.5 lens , 16mm,1/250sec,f9(-0.7e/v),ISO1250
2019,Wildlife Photojournalist Story Award,Highly Commended,Nikon D810,24–70mm f2.8 lens , 34mm,1/4000,f4(-0.3e/v),-
2019,Wildlife Photojournalist Story Award,Highly Commended,Nikon D810,24–70mm f2.8 lens , 24mm,-,f16(-0.7e/v),ISO1600
2019,Wildlife Photojournalist Story Award,Highly Commended,Nikon D810,24–70mm f2.8 lens , 38mm,1/640sec,f5.6(-0.7e/v),-
2019,Wildlife Photojournalist Story Award,Highly Commended,Nikon D850,24–70mm f2.8 lens , 24mm,1/125sec,f8,ISO800
2019,Wildlife Photojournalist Story Award,Highly Commended,Nikon D7100,18–70mm f3.5–4.5 lens , 22mm,1/8sec,f8(-2e/v),ISO1250
2019,Rising Star Portfolio Award,Winner,Canon EOS 5D Mark IV,80–200mm f2.8 lens , 80mm,1/2000sec,f4(+0.3e/v),-
2019,Rising Star Portfolio Award,Winner,Canon EOS 5D Mark IV,400mm f2.8 lens,400mm,1/1600sec,f3.5(+2.0e/v),-
